Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
Saputo,Nesws,"I mean that's what happens with small clubs. You hit oil sometimes, and when you do you have no choice but to sell it. You hope to take advantage while you have it, or reinvest it to make it happen more often but Saputo isn't that kinda guy. Huge ego in MTL at board level. Tough",0,0,1,33,0.7602,pos
Saputo,Nesws,"I understand the rift with Saputo, but you find ways to deal with that and resolve it. The team gave him every opportunity. Going to another MLS team is a gut punch",1,0,1,0,0.7964,pos
Saputo,Nesws,Saputo tout un leader.....,0,0,2,14,-0.128,neg
Saputo,Nesws,Saputo is a clown who destroyed his relationship with the board,0,0,0,1,-0.4939,neg
Saputo,Nesws,Pascoli non ha saputo scrivere they told me all of my cages were mental so I got wasted like all my potential,1,30,298,298,0.1119,pos
Saputo,Nesws,The Eminem Show - 20th Anniversary   (Art By Mike Saputo),5,11,150,150,0.0,neu
Saputo,Nesws,"It's bad enough that $SAP.TO #Saputo obscures its #Australian financials through an undisclosed numbered entity. Yet, even within the document, its disclosures are disappearing. Big red flag that revenue disclosures have vanished. #skeptic #bearish",0,1,6,6,-0.6597,neg
Saputo,Nesws,"Sant Shri Asharamji Bapu #स्वधर्मे_निधनं_श्रेय He Bharat ke Veer Saputo accept this knowledge of Gita. Today the heretics are making fun of our revered saints, our religious festivals and our eternal culture.  Jago Hindu  Hindu Sahishnu Hai Kayar Nahi",0,7,7,7,0.8934,pos
Saputo,Nesws,"Nice Saturday Afternoon... spending time with Lambo Sr!!!   Had to hit up the grocery store, we ran out of some Saputo $SAP.to cheese...   Hey  @sprucepointcap  I tried to call your office 5 times yesterday , and no answer to me email. Major holes in your report   ",10,3,68,68,0.3561,pos
Saputo,Nesws,"Our letter addressed to the new Audit Chair of $SAP.TO, #Saputo - to cut to the chase, prove us wrong and engage an independent forensic review board to evaluate our claims",3,4,9,2,-0.4215,neg
Saputo,Nesws,"pascoli non avrebbe mai saputo scrivere i made you my temple, my mural, my sky, now im begging for footnotes in the story of your life",2,0,6,N/A,0.0,neu
Saputo,Nesws,Saputo going to pay those soccer players big bucks now eh ,0,0,0,N/A,-0.1027,neg
Saputo,Nesws,I think if Nancy does in fact leave that they will be a pretty bad team. Saputo is a horrible owner. He's never spent much on the team and just happened to stumble upon an excellent coach who was able to build a winning team on pennies.,1,0,1,1,0.4767,pos
Saputo,Nesws,"Saputo shares tumble after short-seller Spruce Point publishes a negative report, arguing that the Canadian dairy producer has overpaid for acquisitions",9,2,9,9,-0.6705,neg
Saputo,Nesws,The fact that Saputo would let him go and all the rumors surrounding what went on with that situation makes me really scared about whether or not they'll handle this massive influx of money properly.,1,0,0,1,-0.4927,neg
Saputo,Nesws,Saputo shares drop after short-seller attack sours investors’ taste for dairy giant https://ift.tt/1U9z7MQ,0,0,1,N/A,-0.4588,neg
Saputo,Nesws,Saputo expands New Mexico facility - https://wp.me/s7MbuG-saputo,0,0,1,N/A,0.1027,pos
Saputo,Nesws,Depay ha saputo di Just Rohn,1,0,1,N/A,0.34,pos
Saputo,Nesws,It's #GivingTuesday! Come stuff the bus at the Saputo Centre with non-perishable food in support of Kevin’s Corner Food Resource Centre & Antigonish Food Bank or donate online where every dollar raised will be matched by J & W Murphy Foundation up to $5000 https://stfx.ca/stuff-the-bus,0,6,10,3,0.4574,pos
JUST ANNOUNCED,Nesws,"Just Announced that hundreds of thousands of GA voters are changing their votes from Herschel Walker to Raphael Warnock after tRump, who wants to get rid of the constitution of the U.S. and is too fat to get off the sofa, will do a tele-rally for Walker",73,103,266,18,0.0,neu
JUST ANNOUNCED,Nesws,BREAKING: We just announced America’s first price gouging penalty on big oil.  We will not be gaslit by oil companies that are keeping gas prices high while they rake in record profits.  Time for them to answer for ripping you off.,"4,514","3,975",21.6K,366,-0.0258,neu
JUST ANNOUNCED,Nesws,"JUST ANNOUNCED: Kamala Harris to swear in Karen Bass as the Mayor of Los Angeles, I'm so proud, are you? ",194,648,"4,464",33,0.5847,pos
JUST ANNOUNCED,Nesws,JUST ANNOUNCED: HULK HOGAN IS A DUMB SON OF A BITCH,97,411,"2,851",30,-0.7964,neg
JUST ANNOUNCED,Nesws,"JUST ANNOUNCED: Trump still dumb as hell, no big surprise there. dumbest motherfucker you'll ever see  back to you, Jim",106,131,"1,153",12,-0.9629,neg
JUST ANNOUNCED,Nesws,JUST ANNOUNCED:  IT'S NOT GOING AWAY THIS TIME!  Trump Biden Schiff #twitterflies Taibbi,1,270,530,27,0.0,neu
JUST ANNOUNCED,Nesws,"Pauli just announced via his ig that he’s starting his own radio show ! The main topics will be: his favorites musics, encouragement, chats with fans about art, mindfulness, creativity, etc…   We let you all the information he wrote on his ig ! ",0,8,67,1,0.8309,pos
JUST ANNOUNCED,Nesws,I Just Announced that Trump really puts the “Dic” in Dictator  Follow me for more updates at #TrumpSucks,22,64,182,6,0.0,neu
JUST ANNOUNCED,Nesws,Just Announced:  1) I am going to eat 3 juicy cheeseburgers not just because they taste great but to piss off those WEF clowns who want us to eat bugs. 2) Trudeau is a dick.,4,8,47,48,-0.7184,neg
JUST ANNOUNCED,Nesws,NEW:  @VotersTomorrow  just announced our partnership with Uber to offer young voters in Georgia free rides to & from polling locations from now until Election Day. We are going to do everything we can to make sure every young voter in Georgia can cast their ballot.,892,"4,887",14.2K,199,0.6808,pos
JUST ANNOUNCED,Nesws,Jim Carrey just announced he’s leaving Twitter. It’s only fair since he left comedy 20 years ago.,"2,288","3,675",39.6K,283,0.5859,pos
JUST ANNOUNCED,Nesws,JUST ANNOUNCED: Kevin McCarthy Says He Will HOLD Social Security and Medicare HOSTAGE If He Becomes Speaker. TELL EVERYONE!,"1,869",14.6K,18.5K,521,0.4003,pos
JUST ANNOUNCED,Nesws,MyPillow CEO Mike Lindell just announced he is running against Ronna Romney McDaniel for chair of the Republican Party.  And Trump has already endorsed him. Get your popcorn ready.,"2,244","5,857",36.6K,807,0.7351,pos
JUST ANNOUNCED,Nesws,"The Arise Presidential Town Hall Series fact checker, Mr Taiwo Adebayo, just announced  @PeterObi  the Star of the night. A Star will shine even in darkness. Congratulations to His Excellency Peter Obi for a stellar performance. We moovee to victory come 2023. Nigerians vote LP Obi",79,"1,762","6,519",16,0.7506,pos
JUST ANNOUNCED,Nesws,JUST ANNOUNCED: WE MUST ALL HELP SENATOR RAPHAEL WARNOCK WIN THE RUN-OFF FOR RE-ELECTION FOR GEORGIA SENATE THIS TUESDAY 12/6/22.  ARE YOU WITH ME? WE CAN DO IT! HELL YES! ,179,873,"2,505",34,0.7684,pos
JUST ANNOUNCED,Nesws,Mayor Eric Adams of New York just announced he’s going to remove “mentally ill” people off the streets and even involuntarily hospitalize them. We all know he’s referring to the poor and homeless.,498,871,"2,166",276,-0.4767,neg
JUST ANNOUNCED,Nesws,"Pantone just announced the new color of the year 2023 —  ""Viva Magenta 18-1750""",21,178,"1,958",7,0.0,neu
JUST ANNOUNCED,Nesws,Dear Voters:  President Biden just announced the price of gas is the lowest its been in 10 months.   Democrats lower gas prices.   Republicans don’t.   Any questions?,694,386,"1,822","6,558",-0.296,neg
JUST ANNOUNCED,Nesws,"Morning Dems...you've been lied to again.  Biden admin: ""need more I*S ag*nts to t*x big corps and the rich""  I*S just announced beginning jan 1 that t*x rtns will be required for anyone with any income over $600.  $600? What big corps or rich fall into this bracket...zero.",26,58,142,6,0.6808,pos
JUST ANNOUNCED,Nesws,my mom just announced my weight in front of so many people thinking i couldn't hear  i'm gonna throw up,6,3,616,1,0.0,neu
JUST ANNOUNCED,Nesws,"JUST IN: Senator Schumer and Speaker Pelosi just announced that their meeting with President Biden and GOP leaders ended in agreement, the government must be funded this year.",174,"1,821",10.8K,33,0.4939,pos
JUST ANNOUNCED,Nesws,"Maclachy just announced group is splitting in two, interesting, what is happening next! Stay tuned #eastwall",7,17,65,1,0.4574,pos
JUST ANNOUNCED,Nesws,the way they just announced dates YESTERDAY and are already announcing ticket sales like … can y’all just give us a week ?,0,1,2,2,0.3612,pos
JUST ANNOUNCED,Nesws,Changsub and Sungjae!! :)  Should’ve just announced this as Changsub and Sungjae’s hadabang instead of Changsub’s hadabang with a special guest.,0,108,302,5,0.7418,pos
JUST ANNOUNCED,Nesws,JUST ANNOUNCED: Sydney McLaughlin-Levrone ( @GoSydGo ) is the 2022 World Athletics Female Athlete of the Year!,6,133,891,22,0.0,neu
JUST ANNOUNCED,Nesws,If you’re thrilled that Sen. Chuck Schumer just announced that the Senate will soon confirm the 90th federal judge under President Biden — a massive accomplishment that will go a long way towards balancing out toxic Trump judges — retweet and follow us!,9,59,219,682,0.4926,pos
